,open,high,low,last,close,volume,date,symbol,exchange
142,4.51,4.525,4.485,4.5,4.48,3195.0,2020-11-20T16:00:00+0000,MUFG,IEXG
143,2.765,2.765,2.74,,2.74,0.0,2020-11-20T15:00:00+0000,MFG,IEXG
144,4.51,4.525,4.495,4.51,4.48,2900.0,2020-11-20T15:00:00+0000,MUFG,IEXG
145,6.13,6.135,6.095,6.125,6.14,387.0,2020-11-20T15:00:00+0000,SMFG,IEXG
146,89.2,89.41,89.09,89.24,88.85,1781.0,2020-11-20T15:00:00+0000,SNE,IEXG
147,18.32,18.34,18.195,18.33,18.22,246991.0,2020-11-20T02:00:00+0000,CAJ,IEXG
148,12.9,12.9,12.9,12.9,12.15,400.0,2020-11-20T02:00:00+0000,CHUEF,IEXG
149,28.43,28.57,28.315,28.45,28.58,409393.0,2020-11-20T02:00:00+0000,HMC,IEXG
150,74.11,78.29,74.11,77.68,76.16,52221.0,2020-11-20T02:00:00+0000,HTHIY,IEXG
151,58.99,58.99,58.51,58.805,58.68,5719.0,2020-11-20T02:00:00+0000,MARUY,IEXG
152,31.9662,31.9662,31.9662,31.9662,31.9662,0.0,2020-11-20T02:00:00+0000,TYHOF,IEXG
153,2.72,2.75,2.72,2.74,2.71,258691.0,2020-11-20T02:00:00+0000,MFG,IEXG
154,4.46,4.49,4.45,4.48,4.54,958228.0,2020-11-20T02:00:00+0000,MUFG,IEXG
155,10.5,10.55,10.4,10.525,10.33,202688.0,2020-11-20T02:00:00+0000,PCRFY,IEXG
156,31.22,31.88,31.22,31.71,31.8,178754.0,2020-11-20T02:00:00+0000,SFTBY,IEXG
157,6.08,6.14,6.065,6.14,6.1,838043.0,2020-11-20T02:00:00+0000,SMFG,IEXG
158,11.69,11.69,11.69,11.69,11.69,0.0,2020-11-20T02:00:00+0000,SMTOF,IEXG
159,78.96,78.96,76.26,77.15,77.77,27421.0,2020-11-20T02:00:00+0000,TOELY,IEXG
160,88.87,88.99,88.435,88.85,88.25,899936.0,2020-11-20T02:00:00+0000,SNE,IEXG
161,140.7,141.08,140.13,140.92,141.83,139991.0,2020-11-20T02:00:00+0000,TM,IEXG
162,28.32,28.565,28.315,28.435,28.58,9779.0,2020-11-19T20:00:00+0000,HMC,IEXG
163,88.9,88.975,88.435,88.79,88.25,60102.0,2020-11-19T20:00:00+0000,SNE,IEXG
164,2.71,2.74,2.71,2.73,2.71,1800.0,2020-11-19T19:00:00+0000,MFG,IEXG
165,4.47,4.5,4.445,4.46,4.54,17204.0,2020-11-19T19:00:00+0000,MUFG,IEXG
166,88.9,88.975,88.435,88.74,88.25,49217.0,2020-11-19T19:00:00+0000,SNE,IEXG
167,88.9,88.975,88.58,88.785,88.25,33598.0,2020-11-19T17:00:00+0000,SNE,IEXG
168,18.235,18.285,18.2,18.225,18.22,1242.0,2020-11-19T16:00:00+0000,CAJ,IEXG
169,88.9,88.975,88.58,88.79,88.25,24569.0,2020-11-19T16:00:00+0000,SNE,IEXG
170,18.235,18.285,18.205,18.265,18.22,701.0,2020-11-19T15:00:00+0000,CAJ,IEXG
171,4.47,4.5,4.445,4.485,4.54,636.0,2020-11-19T15:00:00+0000,MUFG,IEXG
172,18.35,18.44,18.21,18.22,18.4,246037.0,2020-11-19T02:00:00+0000,CAJ,IEXG
173,12.15,12.15,12.15,12.15,12.15,0.0,2020-11-19T02:00:00+0000,CHUEF,IEXG
174,28.6,28.97,28.52,28.58,29.19,628889.0,2020-11-19T02:00:00+0000,HMC,IEXG
175,76.545,76.75,75.88,76.16,76.105,22759.0,2020-11-19T02:00:00+0000,HTHIY,IEXG
176,59.1,59.1,58.68,58.68,59.5,8980.0,2020-11-19T02:00:00+0000,MARUY,IEXG
177,75.25,78.56,75.25,77.77,79.07,83169.0,2020-11-19T02:00:00+0000,TOELY,IEXG
178,2.73,2.76,2.71,2.71,2.75,427383.0,2020-11-19T02:00:00+0000,MFG,IEXG
179,4.57,4.61,4.53,4.54,4.62,1585175.0,2020-11-19T02:00:00+0000,MUFG,IEXG
